#SMILES ID pKBHX Name Ref Ref.URL
C1CCC(=O)C1 pKBHX.0030 1.27 cyclopentanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
C1CCC(=O)CC1 pKBHX.0031 1.39 cyclohexanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
C1CCC(=O)OCC1 pKBHX.0032 1.63 oxepan-2-one JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
C1CCC(=S)NCC1 pKBHX.0033 1.60 azepane-2-thione JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C1CCC(CC1)F pKBHX.0034 0.09 fluorocyclohexane JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C1CCC(CC1)N pKBHX.0035 2.29 cyclohexanamine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
C1CCC(CC1)O pKBHX.0036 1.14 cyclohexanol JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C1CCC2C(C1)O2 pKBHX.0037 1.13 7-oxabicyclo[4.1.0]heptane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1CCC=CC1 pKBHX.0038 -0.82 cyclohexene JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C1CCN(C1)CCCl pKBHX.0039 1.45 1-(2-chloroethyl)pyrrolidine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
C1CCNC1 pKBHX.0040 2.59 pyrrolidine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C1CCNCC1 pKBHX.0041 2.38 piperidine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C1CCOC(=O)C1 pKBHX.0042 1.57 tetrahydropyran-2-one JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
C1CCOC1 pKBHX.0043 1.28 tetrahydrofuran EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1CCOCC1 pKBHX.0044 1.23 tetrahydropyran EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1CCS(=O)(=O)C1 pKBHX.0045 1.47 thiolane:1,1-dioxide JCSP2.1996.1047 http://dx.doi.org/10.1039/P29960001047
C1CCS(=O)C1 pKBHX.0046 2.46 thiolane:1-oxide JOC.2010.4105 http://dx.doi.org/10.1021/jo100461z
C1CCSC1 pKBHX.0047 0.32 tetrahydrothiophene CJC.2005.138 http://dx.doi.org/10.1139/v05-007
C1CCSCC1 pKBHX.0048 0.23 tetrahydrothiopyran CJC.2005.138 http://dx.doi.org/10.1139/v05-007
C1CN2CCC1C(C2)Cl pKBHX.0049 1.97 3-chloroquinuclidine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
C1CN2CCC1CC2 pKBHX.0050 2.71 quinuclidine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
C1CN2CCN1CC2 pKBHX.0051 2.63 1,4-diazabicyclo[2.2.2]octane CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
C1CNC1 pKBHX.0052 2.59 azetidine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C1CNCCN1 pKBHX.0053 2.42 piperazine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C1COC1 pKBHX.0054 1.36 oxetane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1COC1=O pKBHX.0055 0.86 oxetan-2-one JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
C1COC=C1 pKBHX.0056 0.53 2,3-dihydrofuran EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1COCCN1 pKBHX.0057 1.86 morpholine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C1COCCO1 pKBHX.0058 1.03 1,4-dioxane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1COCO1 pKBHX.0059 0.75 1,3-dioxolane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1COCOC1 pKBHX.0060 0.93 1,3-dioxane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1COS(=O)O1 pKBHX.0061 0.86 1,3,2-dioxathiolane:2-oxide JOC.2010.4105 http://dx.doi.org/10.1021/jo100461z
C1CS1 pKBHX.0062 0.03 thiirane CJC.2005.138 http://dx.doi.org/10.1139/v05-007
C1CSC(=S)S1 pKBHX.0063 0.30 1,3-dithiolane-2-thione JCSP2.1995.2075 http://dx.doi.org/10.1039/P29950002075
C1CSC1 pKBHX.0064 0.13 thietane CJC.2005.138 http://dx.doi.org/10.1139/v05-007
C1CSCCN1 pKBHX.0065 1.69 thiomorpholine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C1CSCCS1 pKBHX.0066 0.16 1,4-dithiane CJC.2005.138 http://dx.doi.org/10.1139/v05-007
C1CSCN1 pKBHX.0067 1.17 thiazolidine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C1CSCS1 pKBHX.0068 -0.07 1,3-dithiolane CJC.2005.138 http://dx.doi.org/10.1139/v05-007
C1CSCSC1 pKBHX.0069 0.24 1,3-dithiane CJC.2005.138 http://dx.doi.org/10.1139/v05-007
C1N2CN3CN1CN(C2)C3 pKBHX.0070 1.93 hexamine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
C1OCOCO1 pKBHX.0071 0.50 1,3,5-trioxane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C1[C@H]2C[C@H]3C[C@@H]1[C@@H](C(C2)[C@@H]3F)F pKBHX.0072 0.48 (1S,2R,4S,5R)-2,4-difluoroadamantane JPOC.2005.227 http://dx.doi.org/10.1002/poc.813
C=CC#N pKBHX.0073 0.70 prop-2-enenitrile JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
C=CCN pKBHX.0074 1.94 prop-2-en-1-amine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
C=CCN(CC=C)CC=C pKBHX.0075 1.34 N,N-diallylprop-2-en-1-amine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
C=CCNCC=C pKBHX.0076 1.70 N-allylprop-2-en-1-amine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
C=CCO pKBHX.0077 0.79 prop-2-en-1-ol JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
C=CCOCC=C pKBHX.0078 0.70 3-allyloxyprop-1-ene EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
C=Cc1ccccn1 pKBHX.0079 1.65 2-vinylpyridine JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
C=Cc1ccncc1 pKBHX.0080 1.95 4-vinylpyridine JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
CC#N pKBHX.0081 0.91 acetonitrile JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
CC(=O)C pKBHX.0082 1.18 acetone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)C#C pKBHX.0083 0.68 but-3-yn-2-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)C(=O)C pKBHX.0084 0.53 butane-2,3-dione JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)C(Cl)(Cl)Cl pKBHX.0085 0.00 1,1,1-trichloropropan-2-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)C(Cl)Cl pKBHX.0086 0.25 1,1-dichloropropan-2-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)C(F)(F)F pKBHX.0087 -0.06 1,1,1-trifluoropropan-2-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)CCl pKBHX.0088 0.66 1-chloropropan-2-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)N pKBHX.0089 2.06 acetamide JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CC(=O)N(C)C pKBHX.0090 2.44 N,N-dimethylacetamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(=O)N(C)c1ccccc1 pKBHX.0091 2.19 N-methyl-N-phenyl-acetamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(=O)N(C1CCCCC1)C2CCCCC2 pKBHX.0092 2.41 N,N-dicyclohexylacetamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(=O)N(c1ccccc1)c2ccccc2 pKBHX.0093 1.94 N,N-diphenylacetamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(=O)NC pKBHX.0094 2.30 N-methylacetamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(=O)OC pKBHX.0095 1.00 methyl:acetate JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
CC(=O)OC(C)(C)C pKBHX.0096 1.10 tert-butyl:acetate JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
CC(=O)c1ccc(cc1)C#N pKBHX.0097 0.97 4-acetylbenzonitrile JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)C(=O)C pKBHX.0098 1.22 1-(4-acetylphenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)C(F)(F)F pKBHX.0099 0.78 1-[4-(trifluoromethyl)phenyl]ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)Cl pKBHX.0100 0.93 1-(4-chlorophenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)F pKBHX.0101 1.00 1-(4-fluorophenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)N(=O)=O pKBHX.0102 0.69 1-(4-nitrophenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)N(C)C pKBHX.0103 1.76 1-[4-(dimethylamino)phenyl]ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)OC pKBHX.0104 1.33 1-(4-methoxyphenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccc(cc1)SC pKBHX.0105 1.21 1-(4-methylsulfanylphenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1cccc(c1)C(=O)C pKBHX.0106 1.16 1-(3-acetylphenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1cccc(c1)C(F)(F)F pKBHX.0107 0.72 1-[3-(trifluoromethyl)phenyl]ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1cccc(c1)Cl pKBHX.0108 0.82 1-(3-chlorophenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1cccc(c1)F pKBHX.0109 0.83 1-(3-fluorophenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1cccc(c1)OC pKBHX.0110 1.16 1-(3-methoxyphenyl)ethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccccc1 pKBHX.0111 1.11 1-phenylethanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC(=O)c1ccncc1 pKBHX.0112 1.50 1-(4-pyridyl)ethanone JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
CC(=O)n1ccnc1 pKBHX.0113 1.86 1-imidazol-1-ylethanone JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CC(=S)N(C)C pKBHX.0114 1.22 N,N-dimethylthioacetamide JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CC(=S)NC pKBHX.0115 1.14 N-methylthioacetamide JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CC(C)(C)/N=C/c1ccccc1 pKBHX.0116 1.29 N-tert-butyl-1-phenyl-methanimine JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CC(C)(C)Br pKBHX.0117 -0.22 2-bromo-2-methyl-propane JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CC(C)(C)C#N pKBHX.0118 0.99 2,2-dimethylpropanenitrile JPOC.2000.347 http://dx.doi.org/10.1002/1099-1395(200006)13:6<347::AID-POC251>3.0.CO;2-E
CC(C)(C)C(=O)N(C)C pKBHX.0119 2.10 N,N,2,2-tetramethylpropanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(C)(C)C(=O)N(C1CCCCC1)C2CCCCC2 pKBHX.0120 2.06 N,N-dicyclohexyl-2,2-dimethyl-propanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(C)(C)N pKBHX.0121 2.26 2-methylpropan-2-amine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
CC(C)(C)NC pKBHX.0122 2.21 N,2-dimethylpropan-2-amine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
CC(C)(C)OC pKBHX.0123 1.19 2-methoxy-2-methyl-propane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC(C)(C)OC(C)(C)C pKBHX.0124 0.75 2-tert-butoxy-2-methyl-propane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC(C)(C)OOC(C)(C)C pKBHX.0125 0.43 2-tert-butylperoxy-2-methyl-propane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC(C)(C)c1ccccn1 pKBHX.0126 1.42 2-tert-butylpyridine JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
CC(C)(C)c1ccncc1 pKBHX.0127 2.11 4-tert-butylpyridine JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
CC(C)C(=O)N(C)C pKBHX.0128 2.26 N,N,2-trimethylpropanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(C)C(=O)N(C1CCCCC1)C2CCCCC2 pKBHX.0129 2.24 N,N-dicyclohexyl-2-methyl-propanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(C)C12CCC(C=C1)(OO2)C pKBHX.0130 1.22 4-isopropyl-1-methyl-2,3-dioxabicyclo[2.2.2]oct-5-ene EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC(C)CN(C(C)C)C(C)C pKBHX.0131 0.30 N,N-diisopropyl-2-methyl-propan-1-amine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CC(C)Cl pKBHX.0132 -0.30 2-chloropropane JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CC(C)N pKBHX.0133 2.22 propan-2-amine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
CC(C)N(C(C)C)C(=O)C(C)(C)C pKBHX.0134 2.03 N,N-diisopropyl-2,2-dimethyl-propanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CC(C)N(C)C pKBHX.0135 2.11 N,N-dimethylpropan-2-amine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CC(C)N=CN(C)C pKBHX.0136 2.60 N'-isopropyl-N,N-dimethyl-formamidine CJC.1992.2203 http://dx.doi.org/10.1139/v92-276
CC(C)NC pKBHX.0137 2.20 N-methylpropan-2-amine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
CC(C)NC(C)C pKBHX.0138 2.00 N-isopropylpropan-2-amine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
CC(C)OC(=O)C pKBHX.0139 1.15 isopropyl:acetate JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
CC(C)OC(C)C pKBHX.0140 1.11 2-isopropoxypropane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC(C)c1ccccn1 pKBHX.0141 1.76 2-isopropylpyridine JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
CC1(CC(=CC(=O)C1)N(C)C)C pKBHX.0142 2.92 3-(dimethylamino)-5,5-dimethyl-cyclohex-2-en-1-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CC1(CCC(O1)(C)C)C pKBHX.0143 1.43 2,2,5,5-tetramethyltetrahydrofuran EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC1(CCCC(N1)(C)C)C pKBHX.0144 1.88 2,2,6,6-tetramethylpiperidine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
CC1(CCCC(N1C)(C)C)C pKBHX.0145 1.23 1,2,2,6,6-pentamethylpiperidine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CC1CC(=O)O1 pKBHX.0146 0.97 4-methyloxetan-2-one JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
CC1CCC(=O)O1 pKBHX.0147 1.43 5-methyltetrahydrofuran-2-one JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
CC1CCCO1 pKBHX.0148 1.34 2-methyltetrahydrofuran EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC1CN1 pKBHX.0149 2.28 2-methylaziridine JCSP2.2001.2130 http://dx.doi.org/10.1039/B105082F
CC1CO1 pKBHX.0150 0.97 2-methyloxirane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CC1COC(=O)O1 pKBHX.0151 1.22 4-methyl-1,3-dioxolan-2-one JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
CC=O pKBHX.0152 0.65 acetaldehyde JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CCC(=O)C pKBHX.0153 1.22 butan-2-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CCC(=O)CC pKBHX.0154 1.14 pentan-3-one JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CCC(=O)N(C)C pKBHX.0155 2.36 N,N-dimethylpropanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CCC(=O)N(C1CCCCC1)C2CCCCC2 pKBHX.0156 2.22 N,N-dicyclohexylpropanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CCC(=O)NC pKBHX.0157 2.24 N-methylpropanamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CCC(=O)OCC pKBHX.0158 1.08 ethyl:propanoate JCSP2.1994.485 http://dx.doi.org/10.1039/P29940000485
CCCC#CC pKBHX.0159 -0.09 hex-2-yne JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CCCCC#C pKBHX.0160 -0.22 hex-1-yne JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CCCCCC=C pKBHX.0161 -0.67 hept-1-ene JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CCCCCF pKBHX.0162 -0.06 1-fluoropentane JPOC.2005.227 http://dx.doi.org/10.1002/poc.813
CCCCCN(C(C)C)C(C)C pKBHX.0163 -0.34 N,N-diisopropylpentan-1-amine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CCCCN pKBHX.0164 2.21 butan-1-amine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
CCCCN1CCCC1 pKBHX.0165 2.04 1-butylpyrrolidine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CCCCOCCCC pKBHX.0166 0.88 1-butoxybutane EJOC.1998.925 http://dx.doi.org/10.1002/(SICI)1099-0690(199805)1998:5<925::AID-EJOC925>3.0.CO;2-F
CCCCc1ccccn1 pKBHX.0167 1.88 2-butylpyridine JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
CCCN pKBHX.0168 2.19 propan-1-amine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
CCCN(CCC)CCC pKBHX.0169 1.47 N,N-dipropylpropan-1-amine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CCCN=CN(C)C pKBHX.0170 2.59 N,N-dimethyl-N'-propyl-formamidine JCSP2.1988.1491 http://dx.doi.org/10.1039/P29880001491
CCN pKBHX.0171 2.17 ethanamine JCSP2.1999.997 http://dx.doi.org/10.1039/A809265F
CCN(C(C)C)C(C)C pKBHX.0172 1.05 N-ethyl-N-isopropyl-propan-2-amine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CCN(C)C pKBHX.0173 2.17 N,N-dimethylethanamine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CCN(C1CCCCC1)C2CCCCC2 pKBHX.0174 1.14 N-cyclohexyl-N-ethyl-cyclohexanamine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CCN(CC)C(=O)C pKBHX.0175 2.47 N,N-diethylacetamide JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CCN(CC)C(=O)N(CC)CC pKBHX.0176 2.43 1,1,3,3-tetraethylurea JCSP2.1992.2091 http://dx.doi.org/10.1039/P29920002091
CCN(CC)C(=O)c1cccnc1 pKBHX.0177 2.18 N,N-diethylpyridine-3-carboxamide JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CCN(CC)CC pKBHX.0178 1.98 N,N-diethylethanamine CJC.2002.1375 http://dx.doi.org/10.1139/v02-176
CCN(CC)S(=O)(=O)N(CC)CC pKBHX.0179 1.47 N-(diethylsulfamoyl)-N-ethyl-ethanamine JMC.2009.4073 http://dx.doi.org/10.1021/jm801331y
CCN(CC)c1ccc(cc1)C(=O)c2ccc(cc2)N(CC)CC pKBHX.0180 2.33 bis[4-(diethylamino)phenyl]methanone JCSP2.1998.101 http://dx.doi.org/10.1039/A704427E
CCN(CC)c1ccc(cc1)N(=O)=O pKBHX.0181 0.90 N,N-diethyl-4-nitro-aniline JCSP2.1994.491 http://dx.doi.org/10.1039/P29940000491
CCN(CC)c1ccncc1 pKBHX.0182 2.89 N,N-diethylpyridin-4-amine JCSP2.1998.283 http://dx.doi.org/10.1039/A706696A
